Symbol	Description
0IH3	KOMERCNI BANKA CZK500
0IH4	CELL THERAPEUTICS INC COM STK NPV
0IHK	NATIXIS EUR1.6 (POST SUBDV)
0IHM	ATRIUM LJUNGBERG SER`B`NPV (POST SPLIT)
0IHT	CSP INTERNATIONAL IND CALZ SPA EUR0.52
0IHV	MOMINA KREPOST JSC BGN1
0IHZ	TIETOENATOR OYJ ORD NPV
0II2	KONE OYJ NPV ORD `B`
0II4	GREENERGYCAPITAL SPA NPV
0IID	PARIS RE HLDGS LTD CHF9.72
0IIF	VIVENDI EUR5.5
0IIH	PPR EUR4
0IIM	BALKANKAR REKORD AD BGN1
0IJO	MEINL EUROPEAN LAND EUR5(AUST CERT)
0IJV	ALITA LTL1
0IJW	ZENTIVA NV ORD EUR0.01
0IK2	NEOHIM AD BGN1
0IKH	KOMERCNI BANKA CZK500
0IKJ	WARTSILA OYJ ABP EUR3.5
0IKW	ST MICROELECTRONICS EUR1.04
0ILI	FLUIDRA SA EUR1
0ILW	LYXOR INTL ASSET MANAGEMENT LYXOR ETF MSCI EMERGING MARKETS
0IN2	GROUPE BRUXELLES LAMBERT(NEW) NPV
0IN3	IMS(INTERNATIONAL METAL SERVICE) NPV
0INB	ST MICROELECTRONICS EUR1.04
0IND	DUNAV HOLDING JSC BGN1
0INS	MEINL EUROPEAN LAND EUR5(AUST CERT)
0IP1	BASTIDE LE CONFORT MEDICAL EUR0.45
0IP9	PAGES JAUNES EUR0.2
0IPC	GALAPAGOS NV ORD NPV
0IPD	MOBOTIX AG NPV (REG)
0IPT	AKER SOLUTIONS ASA NOK2
0IPY	AUBAY TECHNOLOGY EUR0.50
0IQC	PETAR KARAMINCHEV AD BGN1
0IQU	MERCIALYS EUR1
0IR9	BULGARIAN HOLDING CO BGN1
0IRE	HYDROPNEVMOTEHNIKA JSC BGN2
0IRF	EVOTEC AG NPV
0IRK	ALTAREA NPV
0IRN	ASSYSTEM SA EUR1
0IRP	UNIBAIL-RODAMCO EUR5
0ISM	HKSCAN CORP NPV
0IT3	SCOR EUR7.876972
0ITS	INDUSTRIALEN KAPITAL HLDG AD BGN1
0ITV	ZENIT AGROHOLDING AD BGN1
0IU8	SAFRAN S.A. EUR0.20
0IUJ	INTER PARFUMS EUR 3
0IUQ	CNP ASSURANCES EUR4
0IUV	TOTAL GABON ORD USD17
0IV3	GRAND HOTEL VARNA BGN1
0IVJ	LECTRA EUR1.5
0IVM	SPAREBANKEN MIDT NORGE PRIMARY CAPITAL CERT NOK25
0IW3	SVINEKOMPLEKS NIKOLOVO AD BGN1
0IW5	THALES EUR3
0IW7	THOMSON SA EUR3.75
0IWK	ALTRAN TECHNOLOGIES EUR0.50
0IWV	VAN DE VELDE ORD NPV
0IWZ	ESKER EUR2
0IX0	GENERALE LOCATION EUR4
0IXT	LATECOERE EUR2
0IXY	FONCIERE LYONNAISE EUR2
0IXZ	BOLLORE SA EUR16
0IY1	ATRIA EUR1.70
0IYG	AF AB SER`B` NPV
0IYS	PIRELLI & CO SPA EUR0.52
0IZ8	HENKEL AG & CO KGAA NPV(BR)
0IZB	CREDIT SUISSE GROUP CHF0.04
0IZC	HENKEL AG & CO KGAA NON.V PRF NPV
0IZM	ABG SUNDAL COLLIER HLDG ASA NOK0.23`A`
0J03	RETELIT SPA NPV
0J04	ALLGEMEINE BAUGESELLSCHAFT PORR AG NPV(VAR)
0J1G	GREENERGYCAPITAL SPA NPV
0J1N	SPAREBANKEN NORD NORGE NOK50
0J1R	RYTU SKIRTOMIEJI TINKLAI LTL1
0J1Z	ZON MULTIMEDIA SERVICIOS EUR0.01
0J2O	CROSSWOOD SA EUR3
0J2R	ALSTOM EUR14
0J2S	AST GROUPE ORD EUR0.36
0J2X	EADS(EURO AERONAUTIC DEFENSE SPACE) EUR1
0J35	GROUPE FLO EUR2
0J3F	SODEXHO EUR4
0J3H	SLUNTCHEV DEN JSC - PLOVDIV BGN1
0J3X	COFINIMMO ORD NPV
0J4M	BANCO PASTOR EUR0.33 (POST SPLIT)
0J50	ORAD HI TEC SYSTEMS ORD ILS0.01
0J5Q	DANE ELEC MEMORY EUR0.32
0J5Y	PROSAFE SE EUR0.25
0J6U	CATERING INTL SERVICES CIS EUR0.80
0J6V	FONCIERE DES REGIONS GFR EUR3
0J6X	TELEPERFORMANCE EUR2.50
0J6Y	SOCIETE GENERALE EUR1.25
0J74	ELECTRICITE DE STRASBOURG EUR10(REGD)
0J75	FLEURY MICHON EUR3.05
0J7U	LE BELIER EUR1.52
0J7X	MBB INDUSTRIES AG NPV
0J86	GERARD PERRIER INDUSTRIE EUR1
0J8S	ASPO OYJ NPV
0J8W	JACQUET METALS SA NPV
0J9C	DUERR AG NPV
0J9O	MANZ AUTOMATION AG NPV
0JAV	EINHELL GERMANY AG NON VTG PREF NPV
0JBJ	SRV YHTIOT OYJ NPV
0JC5	ALLAMI NYOMDA HUF98
0JCO	ALL FOR ONE MIDMARKET AG NPV
