Symbol	Description
M3LW	3-Month Lows S&P 500 Telcomm
M3LX	3-Month Lows Overall
M3LY	3-Month Lows S&P 500 Consumer Disc
M3LZ	3-Month Lows Russell 3000
M5DA	5-Day Hi-Lo AMEX
M5DB	5-Day Hi-Lo S&P 500 Materials
M5DC	5-Day Hi-Lo Russell 2000
M5DD	5-Day Hi-Lo Otcbb
M5DE	5-Day Hi-Lo ETFS
M5DF	5-Day Hi-Lo S&P 500 Financials
M5DG	5-Day Hi-Lo Russell 1000
M5DH	5-Day Hi-Lo Price GT $10
M5DI	5-Day Hi-Lo S&P 500 Industrials
M5DJ	5-Day Hi-Lo S&P 500 Utilities
M5DK	5-Day Hi-Lo S&P 500 Info Tech
M5DL	5-Day Hi-Lo Price Lt $10
M5DM	5-Day Hi-Lo S&P 500 Consumer Staples
M5DN	5-Day Hi-Lo NYSE
M5DO	5-Day Hi-Lo S&P 100
M5DP	5-Day Hi-Lo S&P 500
M5DQ	5-Day Hi-Lo Nasdaq
M5DR	5-Day Hi-Lo S&P 500 Real Estate
M5DS	5-Day Hi-Lo S&P 500 Health Care
M5DT	5-Day Hi-Lo S&P 500 Energies
M5DU	5-Day Hi-Lo Volume Lt 100K
M5DV	5-Day Hi-Lo Volume GT 100K
M5DW	5-Day Hi-Lo S&P 500 Telcomm
M5DX	5-Day Hi-Lo Overall
M5DY	5-Day Hi-Lo S&P 500 Consumer Disc
M5DZ	5-Day Hi-Lo Russell 3000
M5HA	5-Day Highs AMEX
M5HB	5-Day Highs S&P 500 Materials
M5HC	5-Day Highs Russell 2000
M5HD	5-Day Highs Otcbb
M5HE	5-Day Highs ETFS
M5HF	5-Day Highs S&P 500 Financials
M5HG	5-Day Highs Russell 1000
M5HH	5-Day Highs Price GT $10
M5HI	5-Day Highs S&P 500 Industrials
M5HJ	5-Day Highs S&P 500 Utilities
M5HK	5-Day Highs S&P 500 Info Tech
M5HL	5-Day Highs Price Lt $10
M5HM	5-Day Highs S&P 500 Consumer Staples
M5HN	5-Day Highs NYSE
M5HO	5-Day Highs S&P 100
M5HP	5-Day Highs S&P 500
M5HQ	5-Day Highs Nasdaq
M5HR	5-Day Highs S&P 500 Real Estate
M5HS	5-Day Highs S&P 500 Health Care
M5HT	5-Day Highs S&P 500 Energies
M5HU	5-Day Highs Volume Lt 100K
M5HV	5-Day Highs Volume GT 100K
M5HW	5-Day Highs S&P 500 Telcomm
M5HX	5-Day Highs Overall
M5HY	5-Day Highs S&P 500 Consumer Disc
M5HZ	5-Day Highs Russell 3000
M5LA	5-Day Lows AMEX
M5LB	5-Day Lows S&P 500 Materials
M5LC	5-Day Lows Russell 2000
M5LD	5-Day Lows Otcbb
M5LE	5-Day Lows ETFS
M5LF	5-Day Lows S&P 500 Financials
M5LG	5-Day Lows Russell 1000
M5LH	5-Day Lows Price GT $10
M5LI	5-Day Lows S&P 500 Industrials
M5LJ	5-Day Lows S&P 500 Utilities
M5LK	5-Day Lows S&P 500 Info Tech
M5LL	5-Day Lows Price Lt $10
M5LM	5-Day Lows S&P 500 Consumer Staples
M5LN	5-Day Lows NYSE
M5LO	5-Day Lows S&P 100
M5LP	5-Day Lows S&P 500
M5LQ	5-Day Lows Nasdaq
M5LR	5-Day Lows S&P 500 Real Estate
M5LS	5-Day Lows S&P 500 Health Care
M5LT	5-Day Lows S&P 500 Energies
