Symbol	Description
YOU18	Mexican Peso {Sep 18}
YOZ18	Mexican Peso {Dec 18}
YP	Pound/Dollar
YPH19	Pound/Dollar {Mar 19}
YPM19	Pound/Dollar {Jun 19}
YPU18	Pound/Dollar {Sep 18}
YPZ18	Pound/Dollar {Dec 18}
ZGG19	ICE Gold 100-oz {Feb 19}
ZGG20	ICE Gold 100-oz {Feb 20}
ZGJ19	ICE Gold 100-oz {Apr 19}
ZGJ20	ICE Gold 100-oz {Apr 20}
ZGM19	ICE Gold 100-oz {Jun 19}
ZGM20	ICE Gold 100-oz {Jun 20}
ZGM21	ICE Gold 100-oz {Jun 21}
ZGM22	ICE Gold 100-oz {Jun 22}
ZGM23	ICE Gold 100-oz {Jun 23}
ZGN18	ICE Gold 100-oz {Jul 18}
ZGQ18	ICE Gold 100-oz {Aug 18}
ZGQ19	ICE Gold 100-oz {Aug 19}
ZGU18	ICE Gold 100-oz {Sep 18}
ZGV18	ICE Gold 100-oz {Oct 18}
ZGV19	ICE Gold 100-oz {Oct 19}
ZGZ18	ICE Gold 100-oz {Dec 18}
ZGZ19	ICE Gold 100-oz {Dec 19}
ZGZ20	ICE Gold 100-oz {Dec 20}
ZGZ21	ICE Gold 100-oz {Dec 21}
ZGZ22	ICE Gold 100-oz {Dec 22}
ZIF19	ICE Silver 5000-oz {Jan 19}
ZIF20	ICE Silver 5000-oz {Jan 20}
ZIH19	ICE Silver 5000-oz {Mar 19}
ZIH20	ICE Silver 5000-oz {Mar 20}
ZIK19	ICE Silver 5000-oz {May 19}
ZIK20	ICE Silver 5000-oz {May 20}
ZIN18	ICE Silver 5000-oz {Jul 18}
ZIN19	ICE Silver 5000-oz {Jul 19}
ZIN20	ICE Silver 5000-oz {Jul 20}
ZIN21	ICE Silver 5000-oz {Jul 21}
ZIN22	ICE Silver 5000-oz {Jul 22}
ZIQ18	ICE Silver 5000-oz {Aug 18}
ZIU18	ICE Silver 5000-oz {Sep 18}
ZIU19	ICE Silver 5000-oz {Sep 19}
ZIZ18	ICE Silver 5000-oz {Dec 18}
ZIZ19	ICE Silver 5000-oz {Dec 19}
ZIZ20	ICE Silver 5000-oz {Dec 20}
ZIZ21	ICE Silver 5000-oz {Dec 21}
ZIZ22	ICE Silver 5000-oz {Dec 22}
ZJ	New Zealand/Yen
ZJH19	New Zealand/Yen {Mar 19}
ZJM19	New Zealand/Yen {Jun 19}
ZJU18	New Zealand/Yen {Sep 18}
ZJZ18	New Zealand/Yen {Dec 18}
ZY	Swiss/Yen
ZYH19	Swiss/Yen {Mar 19}
ZYM19	Swiss/Yen {Jun 19}
ZYU18	Swiss/Yen {Sep 18}
ZYZ18	Swiss/Yen {Dec 18}
